"admin     "~"A                             "~"003450000514                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000514                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000514                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000514                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000514                                      "~"Clr                                               "~"WHITE                                   00000                                                       "~.00      ~"O"~0    
"b9001     "~"A                             "~"003450000514                                      "~"Clr                                               "~"WHITE                                   00000                                                       "~.00      ~"O"~0    
"admin     "~"A                             "~"003450000514                                      "~"SIZES                                             "~"   S                                                                                                "~.00      ~"O"~1    
"b9001     "~"A                             "~"003450000514                                      "~"SIZES                                             "~"   S                                                                                                "~.00      ~"O"~1    
"admin     "~"A                             "~"003450000521                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000521                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000521                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000521                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000521                                      "~"Clr                                               "~"WHITE                                   00000                                                       "~.00      ~"O"~0    
"b9001     "~"A                             "~"003450000521                                      "~"Clr                                               "~"WHITE                                   00000                                                       "~.00      ~"O"~0    
"admin     "~"A                             "~"003450000521                                      "~"SIZES                                             "~"   M                                                                                                "~.00      ~"O"~2    
"b9001     "~"A                             "~"003450000521                                      "~"SIZES                                             "~"   M                                                                                                "~.00      ~"O"~2    
"admin     "~"A                             "~"003450000538                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000538                                      "~"STYLE                                             "~"A                                                                                                   "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000538                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"b9001     "~"A                             "~"003450000538                                      "~"CLRCODE                                           "~"001                                                                                                 "~.00      ~"F"~0    
"admin     "~"A                             "~"003450000538                                      "~"Clr                                               "~"WHITE                                   00000                                                       "~.00      ~"O"~0    
