"admin     "~"A                             "~"NEW STYLE                                                                                                                                   "~"NEW STYLE                                                                                           "~"NEW STYLE                                         "~"PNT                                               "~11.00      ~" "
"b9001     "~"A                             "~"NEW STYLE                                                                                                                                   "~"NEW STYLE                                                                                           "~"NEW STYLE                                         "~"PNT                                               "~11.00      ~" "
"admin     "~"B721                          "~"TEST IT B721 SHIRT                                                                                                                          "~"TEST IT B721 SHIRT                                                                                  "~"TEST IT B721 SHIRT                                "~"BLS                                               "~75.00      ~" "
"b9001     "~"B721                          "~"TEST IT B721 SHIRT                                                                                                                          "~"TEST IT B721 SHIRT                                                                                  "~"TEST IT B721 SHIRT                                "~"BLS                                               "~75.00      ~" "
"admin     "~"KIM1                          "~"KIM1 WEB                                                                                                                                    "~"KIM1 WEB                                                                                            "~"KIM1 WEB                                          "~"KIM                                               "~1.00       ~" "
"b9001     "~"KIM1                          "~"KIM1 WEB                                                                                                                                    "~"KIM1 WEB                                                                                            "~"KIM1 WEB                                          "~"KIM                                               "~1.00       ~" "
"admin     "~"KIM3                          "~"KIM3 WEB                                                                                                                                    "~"KIM3 WEB                                                                                            "~"KIM3 WEB                                          "~"KIM                                               "~1.00       ~" "
"b9001     "~"KIM3                          "~"KIM3 WEB                                                                                                                                    "~"KIM3 WEB                                                                                            "~"KIM3 WEB                                          "~"KIM                                               "~1.00       ~" "
"admin     "~"TEST6835                      "~"TEST6835                                                                                                                                    "~"TEST6835                                                                                            "~"TEST6835                                          "~"DTF                                               "~25.00      ~" "
"b9001     "~"TEST6835                      "~"TEST6835                                                                                                                                    "~"TEST6835                                                                                            "~"TEST6835                                          "~"DTF                                               "~25.00      ~" "
