"admin     "~"A                             "~"003450000514                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000514                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000521                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000521                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000538                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000538                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000545                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000545                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000552                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000552                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000569                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000569                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000576                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000576                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000583                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000583                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000590                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000590                                      "~.00      ~.00      ~"C"~" "
"admin     "~"A                             "~"003450000606                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"A                             "~"003450000606                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016088                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016088                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016095                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016095                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016101                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016101                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016118                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016118                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016125                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016125                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016132                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016132                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016149                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016149                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016156                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016156                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016163                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016163                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016170                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016170                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016187                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016187                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016194                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016194                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016200                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016200                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016217                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016217                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016224                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016224                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016231                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016231                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016248                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016248                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016255                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016255                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016262                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016262                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016279                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016279                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016286                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016286                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016293                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016293                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016309                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016309                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016316                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016316                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016323                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016323                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016330                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016330                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016347                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016347                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016354                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016354                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016361                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016361                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016378                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016378                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016385                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016385                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016392                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016392                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016408                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016408                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016415                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016415                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016422                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016422                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016439                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016439                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016446                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016446                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016453                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016453                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016460                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016460                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016477                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016477                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016484                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016484                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016491                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016491                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016507                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016507                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016514                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016514                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016521                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016521                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016538                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016538                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016545                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016545                                      "~.00      ~.00      ~"C"~" "
"admin     "~"B721                          "~"011111016552                                      "~.00      ~.00      ~"C"~" "
"b9001     "~"B721                          "~"011111016552                                      "~.00      ~.00      ~"C"~" "
